iteration,time,result
6793597,3600.337295770645,46152960198409
6793598,3600.33784866333,46152973785604
6793599,3600.3383705615997,46152987372801
6793600,3600.3388912677765,46153000960000
6793601,3600.339408159256,46153014547201
6793602,3600.3399238586426,46153028134404
6793603,3600.3404397964478,46153041721609
6793604,3600.340957403183,46153055308816
6793605,3600.3414721488953,46153068896025
6793606,3600.342041492462,46153082483236
6793607,3600.342559814453,46153096070449
6793608,3600.343079328537,46153109657664
6793609,3600.343596458435,46153123244881
6793610,3600.3441095352173,46153136832100
6793611,3600.3446288108826,46153150419321
6793612,3600.3451483249664,46153164006544
6793613,3600.3456661701202,46153177593769
6793614,3600.3461816310883,46153191180996
6793615,3600.346701860428,46153204768225
6793616,3600.3473188877106,46153218355456
6793617,3600.347860813141,46153231942689
6793618,3600.348377466202,46153245529924
6793619,3600.348892688751,46153259117161
6793620,3600.3494091033936,46153272704400
6793621,3600.349975824356,46153286291641
6793622,3600.3504989147186,46153299878884
6793623,3600.3510143756866,46153313466129
6793624,3600.351530313492,46153327053376
6793625,3600.3520455360413,46153340640625
6793626,3600.352561235428,46153354227876
6793627,3600.3530774116516,46153367815129
6793628,3600.353590488434,46153381402384
6793629,3600.3541026115417,46153394989641
6793630,3600.354618549347,46153408576900
6793631,3600.3551349639893,46153422164161
6793632,3600.35565328598,46153435751424
6793633,3600.3561692237854,46153449338689
6793634,3600.3567271232605,46153462925956
6793635,3600.3573276996613,46153476513225
6793636,3600.3579173088074,46153490100496
6793637,3600.358442544937,46153503687769
6793638,3600.358961582184,46153517275044
6793639,3600.359479665756,46153530862321
6793640,3600.3599984645844,46153544449600
6793641,3600.360518217087,46153558036881
6793642,3600.3610348701477,46153571624164
6793643,3600.361551761627,46153585211449
6793644,3600.362070083618,46153598798736
6793645,3600.362588405609,46153612386025
6793646,3600.3631060123444,46153625973316
6793647,3600.3636231422424,46153639560609
6793648,3600.3641409873962,46153653147904
6793649,3600.3646581172943,46153666735201
6793650,3600.365173816681,46153680322500
6793651,3600.3657307624817,46153693909801
6793652,3600.36625623703,46153707497104
6793653,3600.366772174835,46153721084409
6793654,3600.3673951625824,46153734671716
6793655,3600.367933988571,46153748259025
6793656,3600.3684542179108,46153761846336
6793657,3600.3689725399017,46153775433649
